"EXPENSE ACCOUNT","Item No.","Description","Unit of Measure","PRICELIST"
"Office Supplies Expenses","635","Ballpen, Special, Red","pc","57"
"Office Supplies Expenses","636","Battery charger, 9 volts, for AA and AAA","unit","3808"
"Office Supplies Expenses","637","Battery, AA Rechargeable, 2pcs per Pack","pack","813"
"Office Supplies Expenses","638","Battery, AA, Alkaline, 2 pcs per pack, heavy duty","pack","127"
"Office Supplies Expenses","639","Battery, AAA Rechargeable, 2pcs per Pack","pack","1029"
"Office Supplies Expenses","640","Battery, AAA, Alkaline, 4pcs per pack, heavy duty","pack","260"
"Office Supplies Expenses","641","Battery, CMOS, CR2032","pc","124"
"Office Supplies Expenses","642","Battery, Dry Cell, AA Ordinary 2 pcs per pack","pack","57"
"Office Supplies Expenses","643","Battery, Flat, 9 Volts, heavy duty","pc","171"
"Office Supplies Expenses","644","Battery, Size C (Heavy Duty, Black) Max. Alkaline 2 pcs
per pack","pack","419"
"Office Supplies Expenses","645","Battery, Size D (Heavy Duty, Black) 2pcs per pack","pack","138"
"Office Supplies Expenses","646","Board magnet, 6pcs per box","box","48"
"Office Supplies Expenses","647","Board Paper, 220 gsm, 10pc/pack, Long, Cream","pack","85"
"Office Supplies Expenses","648","Board Paper, 220 gsm, 10pc/pack, Short, Cream","pack","76"
"Office Supplies Expenses","649","Board Paper, 220gsm, 10pc/pack, Long, White","pack","55"
"Office Supplies Expenses","650","Board Paper, 220gsm, 10pc/pack, Short, White","pack","57"
"Office Supplies Expenses","651","Bond Paper, S24, Acid-free, 8""x13""","rm","328"
"Office Supplies Expenses","652","Book Stand/ Organizer, L-Type, Steel","pair","390"
"Office Supplies Expenses","653","Calculator, 12-digits","unit","705"
"Office Supplies Expenses","654","Calculator, printing, heavy duty, ribbon-type printer","unit","3205"
"Office Supplies Expenses","655","Calculator, scientific","unit","2354"
"Office Supplies Expenses","656","Carbon Paper, Long Permafilm, 100's/Box","box","1275"
"Office Supplies Expenses","657","Cartolina, Ordinary, Blue","pc","11"
"Office Supplies Expenses","658","Cartolina, Ordinary, Green","pc","11"
"Office Supplies Expenses","659","Cartolina, Ordinary, Orange","pc","11"
"Office Supplies Expenses","660","Cartolina, Ordinary, Pink","pc","11"
"Office Supplies Expenses","661","Cartolina, Ordinary, Red","pc","11"
"Office Supplies Expenses","662","Cartolina, Ordinary, White","pc","11"
"Office Supplies Expenses","663","Cartolina, Ordinary, Yellow","pc","11"
"Office Supplies Expenses","664","Cartolina, Special, Light Blue","pc","16"
"Office Supplies Expenses","665","Cartolina, Special, White","pc","16"
"Office Supplies Expenses","666","Certificate Folder w/ PGLU logo, Long, Maroon","pc","648"
"Office Supplies Expenses","667","Certificate Folder, A4","pc","70"
"Office Supplies Expenses","668","Certificate Folder, Long 8""x13""","pc","85"
"Office Supplies Expenses","669","Certificate Folder, Short 8""x11""","pc","49"
"Office Supplies Expenses","670","Certificate Frame, Glass, 8""x11""","pc","308"
"Office Supplies Expenses","671","Certificate Frame, Glass, A4","pc","89"
"Office Supplies Expenses","672","Clear Book refill, Long ,100s","pck","283"
"Office Supplies Expenses","673","Clear Book with 20 leaves, long (Red & Blue)","pc","238"
"Office Supplies Expenses","674","Clearbook, Long, purple, 20 Sheets, 27 holes","pc","186"
"Office Supplies Expenses","675","Colored Paper, Assorted Colors, Long","rm","341"
"Office Supplies Expenses","676","Columnar Notebook, 18 Columns","pc","111"
"Office Supplies Expenses","677","Columnar Notebook, 3 Columns","pc","63"
"Office Supplies Expenses","678","Concorde Laid Specialty Papers 90gsm 500's per ream, L. Yellow, Long, 8½""x13""","rm","1141"
"Office Supplies Expenses","679","Concorde Laid Specialty Papers 90gsm 500's per ream, White, Long, 8½""x13""","rm","973"
"Office Supplies Expenses","680","Concorde, Watermarked Laid Paper, Light Yellow A4","rm","1305"
"Office Supplies Expenses","681","Conqueror/ Galgo Paper, A4, Evory, S24","rm","1265"
"Office Supplies Expenses","682","Construction Paper, S24, Assorted Color, Long","rm","373"
"Office Supplies Expenses","683","Copy paper, 8.5"" x 11"", Short","rm","293"
"Office Supplies Expenses","684","Copy Paper, S20, A4","rm","249"
"Office Supplies Expenses","685","Copy Paper, S20. Long 8½""x13""","rm","286"
"Office Supplies Expenses","686","Copy Paper, S24, 80GSM, A3","rm","413"
"Office Supplies Expenses","687","Copy Paper, S24, A4","rm","272"
"Office Supplies Expenses","688","Copy Paper, S24, Long 8½""x13""","rm","286"
"Office Supplies Expenses","689","Cork Board, 3'x 5'","pc","3299"
"Office Supplies Expenses","690","Cork Board, 4' x 6'","pc","5067"
"Office Supplies Expenses","691","Correction Fluid, 15ml","btl","55"
"Office Supplies Expenses","692","Correction Tape, 5mm x12mm","pc","62"
"Office Supplies Expenses","693","Cutter Big, Heavy Duty, Retractable w/ Steel Guide","pc","414"
"Office Supplies Expenses","694","Cutter Blade, for heavy duty cutter","pc","50"
"Office Supplies Expenses","695","Cutter, Big","pc","127"
"Office Supplies Expenses","696","Data File Binder, Archfile Ring binder long with
side clip","pc","290"
"Office Supplies Expenses","697","Data File Binder, Archfile Ring binder short with
side clip","pc","221"
"Office Supplies Expenses","698","Dater Stamp","pc","209"
"Office Supplies Expenses","699","Document File box, 11""W x 15 5/8"" L x 11""H","pc","738"
"Office Supplies Expenses","700","Duct tape, 1""","pcs","98"
"Office Supplies Expenses","701","Duct Tape, 2"" x 25m black","roll","209"
"Office Supplies Expenses","702","Duct Tape, 2"" x 25m, silver","roll","165"
"Office Supplies Expenses","703","Engineer's Fieldbook Total","pc","147"
"Office Supplies Expenses","704","Envelope, Brown, Long","pc","7"
"Office Supplies Expenses","705","Envelope, Brown, Short","pc","6"
"Office Supplies Expenses","706","Envelope, Expanding, Brown, Long, 0.50mm","pc","30"
"Office Supplies Expenses","707","Envelope, Expanding, Brown, Short, 0.50mm","pc","21"
"Office Supplies Expenses","708","Envelope, Expanding, Green, Long, 0.50mm","pc","55"
"Office Supplies Expenses","709","Envelope, Expanding, Green, Short, 0.50mm","pc","25"
"Office Supplies Expenses","710","Envelope, Expanding, Plastic, long, 0.50mm","pc","88"
"Office Supplies Expenses","711","Envelope, Expanding, Yellow, Long, 0.50mm","pc","22"
"Office Supplies Expenses","712","Envelope, Plastic, Long","pc","40"
"Office Supplies Expenses","713","Envelope, Plastic, Short","pc","20"
"Office Supplies Expenses","714","Eraser, for blackboard/whiteboard","pc","28"
"Office Supplies Expenses","715","Eraser, plastic or rubber, 0.5"" x 1.5""","pc","17"
"Office Supplies Expenses","716","Fastener, Plastic, 8""/ 100's","box","119"
"Office Supplies Expenses","717","Fastener, Plastic, Standard/50's","box","64"
"Office Supplies Expenses","718","File Box with cover,11 W x16 L x 11.5 H","pc","528"
"Office Supplies Expenses","719","File Organizer Expanding, Legal, 12 pockets, accordion file bag with handle","pc","327"
"Office Supplies Expenses","720","Filing Box/ Storage Box, Blue cover - Plastic, 25L","pc","336"
"Office Supplies Expenses","721","Filing Box/ Storage Box, Blue cover - Plastic, 50L","pc","561"
"Office Supplies Expenses","722","Filing Box/ Storage Box, Blue cover - Plastic,95L","pc","1086"
"Office Supplies Expenses","723","Flag Philippine Standard Size (Cotton), 3'x5'","pc","345"
"Office Supplies Expenses","724","Folder Expanding (Pressboard), Long (Red color)","pc","45"
"Office Supplies Expenses","725","Folder Expanding (Pressboard), Long blue color","pc","30"
"Office Supplies Expenses","726","Folder Expanding (Pressboard), Long green color","pc","30"
"Office Supplies Expenses","727","Folder Expanding (Pressboard), size 240mm x 370mm,
100 pcs per box","box","1023"
"Office Supplies Expenses","728","Folder Morroco with stick, Long (Asstd. Color)","pc","19"
"Office Supplies Expenses","729","Folder Morroco with Stick, Short (Asstd. Colors)","pc","19"
"Office Supplies Expenses","730","Folder Plastic, Long","pc","27"
"Office Supplies Expenses","731","Folder Plastic, Short","pc","43"
"Office Supplies Expenses","732","Folder, (White) Long","pc","13"
"Office Supplies Expenses","733","Folder, (White) Short","pc","11"
"Office Supplies Expenses","734","Folder, Brown, Long","pc","13"
"Office Supplies Expenses","735","Folder, Brown, Short","pc","10"
"Office Supplies Expenses","736","Folder, Clipboard, long","pc","164"
"Office Supplies Expenses","737","Folder, Clipboard, short","pc","127"
"Office Supplies Expenses","738","Folder, Expanded, Purple, A4","pc","28"
"Office Supplies Expenses","739","Folder, Expanded, Purple, Long","pc","32"
"Office Supplies Expenses","740","Folder, Fancy, for A4 size documents (100pcs per pack)","bundle","377"
"Office Supplies Expenses","741","Folder, Fancy, for legal size documents, long (100pcs
per pack)","bundle","561"
"Office Supplies Expenses","742","Folder, White, Short, A4","pc","9"
"Office Supplies Expenses","743","Galgo Paper, A4, Light Yellow, 90gms","reams","878"
"Office Supplies Expenses","744","Galgo Paper, Long, Light Yellow, 90gms","reams","1086"
"Office Supplies Expenses","745","Glossy Photo paper, Sticker","pack","290"
"Office Supplies Expenses","746","Glue 130 gms,","btl","94"
"Office Supplies Expenses","747","Glue 40 gms,","btl","48"
"Office Supplies Expenses","748","Glue Gun Stick, Big","pc","11"
"Office Supplies Expenses","749","Glue Gun Stick, Small","pc","8"
"Office Supplies Expenses","750","Glue Gun, Big, Heavy Duty","unit","407"
"Office Supplies Expenses","751","Glue, All Purpose 200 gms,","btl","99"
"Office Supplies Expenses","752","Gun Tucker T30","pc","854"
"Office Supplies Expenses","753","Gun Tucker T50","pc","3241"
"Office Supplies Expenses","754","Gun Tucker Wire for T30","pc","111"
"Office Supplies Expenses","755","Gun Tucker Wire for T50","pc","80"
"Office Supplies Expenses","756","Hi Gloss Sticker Paper, 10pcs/pack","pack","85"
"Office Supplies Expenses","757","ID double sided , B4 Card Case (6 x 4.25) , (20 pcs)","pack","11"
"Office Supplies Expenses","758","ID Holder (4.5"" X 3.5"") with Strap","pc","43"
"Office Supplies Expenses","759","ID Leis","pc","14"
"Office Supplies Expenses","760","Illustration Board (1 whole)","pc","462"
"Office Supplies Expenses","761","In and Out Tray 2-Layers Steel (Metal Desk Tray)","pc","739"
"Office Supplies Expenses","762","In and Out Tray 3 layers Office supplies desk tray/wire mesh four-layer file tray/basket rack multi-layer storage
box file holder","pc","550"
"Office Supplies Expenses","763","In and Out Tray 3-Layers Steel (Metal Desk Tray)","pc","907"
"Office Supplies Expenses","764","Index Card, 3"" x 5"", ruled both sides, 50's/pack","pack","38"
"Office Supplies Expenses","765","Index Card, 5"" x 8"", ruled both sides, 50's/pack","pack","60"
"Office Supplies Expenses","766","Index Plastic Tabs Stick up ""Sign Here"" Stickies
(44x25MM)","pack","77"
"Office Supplies Expenses","767","Laminating Film, 250mic, 228x50m","pc","1173"
"Office Supplies Expenses","768","Laminating Film, A3","roll","1458"
"Office Supplies Expenses","769","Laminating Film, A4","roll","1297"
"Office Supplies Expenses","770","Laminating Film, Long","roll","907"
"Office Supplies Expenses","771","Magazine File Folder","pc","242"
"Office Supplies Expenses","772","Magazine rack, plastic","pc","323"
"Office Supplies Expenses","773","Mailing Envelope, Cream, Long, 500's","box","406"
"Office Supplies Expenses","774","Mailing Envelope, White, Long, 500's","box","499"
"Office Supplies Expenses","775","Mailing Envelope, White, Short, 500's","box","293"
"Office Supplies Expenses","776","Mailing Envelope,White, Long, with plastic window, 500s","box","867"
"Office Supplies Expenses","777","Manila Paper","pc","20"
"Office Supplies Expenses","778","Marker Fluorescent, Highlighter Pen, 3 Asstd Colors per
set","pc","66"
"Office Supplies Expenses","779","Marking Pen Refill Ink, 30ml","pc","219"
"Office Supplies Expenses","780","Marking Pen, permanent Broad Tip (Black)","pc","70"
"Office Supplies Expenses","781","Marking Pen, Permanent Broad Tip (Blue)","pc","70"
"Office Supplies Expenses","782","Marking Pen, Permanent Broad Tip (Red)","pc","70"
"Office Supplies Expenses","783","Marking Pen, permanent fine (Black)","pc","70"
"Office Supplies Expenses","784","Marking Pen, permanent fine (Blue)","pc","70"
"Office Supplies Expenses","785","Marking Pen, permanent fine (Red)","pc","70"
"Office Supplies Expenses","786","Marking Pen, whiteboard BLACK","pc","78"
"Office Supplies Expenses","787","Marking Pen, whiteboard BLUE","pc","78"
"Office Supplies Expenses","788","Marking Pen, whiteboard RED","pc","78"
"Office Supplies Expenses","789","Masking Tape 1"" (24mm) x 25 yards)","roll","61"
"Office Supplies Expenses","790","Masking Tape 1/2"" (24mm x 25yards)","roll","29"
"Office Supplies Expenses","791","Masking Tape 2"" x 25 yards","roll","121"
"Office Supplies Expenses","792","Mechanical Pencil 0.5","pc","505"
"Office Supplies Expenses","793","Mechanical Pencil Lead 0.5 (10's/tube)","tube","152"
"Office Supplies Expenses","794","Mimeographing Paper, Long 8½""x13"", WW","rm","312"
"Office Supplies Expenses","795","Mimeographing Paper, Short 8½""x11"", WW","rm","281"
"Office Supplies Expenses","796","Note Pad, (3"" x 4"") (80 leaves/pack)","pad","59"
"Office Supplies Expenses","797","Note Pad, stick on, (2"" x 3"") (80 leaves/pack)","pad","17"
"Office Supplies Expenses","798","Note Pad, stick on, 3' x 5"", w/ lines","pad","108"
"Office Supplies Expenses","799","Note Pad, stick on, (3"" x 3"") (80 leaves/pack)","pad","26"
"Office Supplies Expenses","800","Note Pad, stick on, 1.5"" x 2"" (Post It)","pad","23"
"Office Supplies Expenses","801","Notebook, 80 Leaves","pc","51"
"Office Supplies Expenses","802","Nylon Rope, 20 mtrs","pc","501"
"Office Supplies Expenses","803","Official Logbook, 300pp","pc","213"
"Office Supplies Expenses","804","Oslo paper, 10 pcs per pack","pack","33"
"Office Supplies Expenses","805","Padlock, Heavy Duty, Big","pc","1436"
"Office Supplies Expenses","806","Padlock, Heavy Duty, Medium","pc","808"
"Office Supplies Expenses","807","Panasonic KX-TS500 MX Telephone","pc","990"
"Office Supplies Expenses","808","Paper Clamp bullclip Small 7/8"" (22mm), 6pcs/pack","pack","36"
"Office Supplies Expenses","809","Paper Clamp bullclip, Big 1 1/2"", 6 pcs/pack","pack","90"
"Office Supplies Expenses","810","Paper Clamp bullclip, Medium 1 1/4"", 6pcs/ pack","pack","57"
"Office Supplies Expenses","811","Paper Clip, gem type, 33mm 100's/box","box","47"
"Office Supplies Expenses","812","Paper Clip, gem type, jumbo, 48mm 100's/box","box","53"
"Office Supplies Expenses","813","Paper Cutter w/ Board 10""x12"", Heavy Duty","unit","2372"
"Office Supplies Expenses","814","Pencil #1, 12 pcs / box","box","206"
"Office Supplies Expenses","815","Pencil #2, 12 pcs / box","box","206"
"Office Supplies Expenses","816","Pencil Sharpener, Heavy Duty,Single cutter","pc","620"
"Office Supplies Expenses","817","Permanent Marker, Violet (PPA 18)","pc","52"
"Office Supplies Expenses","818","Photo glossy sticker paper","pck","209"
"Office Supplies Expenses","819","Photo Paper, Glossy, A4 /10's","pack","167"
"Office Supplies Expenses","820","Photo Paper, Glossy, Sticker A4 /20's, 135 gsm","pack","320"
"Office Supplies Expenses","821","Picture Frame, 8""x11""","pc","258"
"Office Supplies Expenses","822","Picture Frame, 8""x13""","pc","319"
"Office Supplies Expenses","823","Plain PVC cards (250 pcs/box)","box","1898"
"Office Supplies Expenses","824","Plain Shiny 15mm Thick ID Lace Sling Holder Lanyards","pc","17"
"Office Supplies Expenses","825","Plastic Envelope with Handle","pc","127"
"Office Supplies Expenses","826","Plastic Folder Jacket","pc","24"
"Office Supplies Expenses","827","Plastic Insert Sheet Fillers A4, 100 pcs","pack","413"
"Office Supplies Expenses","828","Plastic Insert Sheet Fillers Long, 100 pcs","pack","413"
"Office Supplies Expenses","829","Plastic Insert Sheet Fillers,","pc","264"
"Office Supplies Expenses","830","Plastic straw, twine","roll","148"
"Office Supplies Expenses","831","Poster Paint, 12 colors","pack","190"
"Office Supplies Expenses","832","Puncher Heavy Duty w/ Automatic Centering Guide
(75XL)","pc","1073"
"Office Supplies Expenses","833","Push Pin, hammerhead type, 100's/box","box","49"
"Office Supplies Expenses","834","PVC Cover, A4100's/pack","pack","1908"
"Office Supplies Expenses","835","PVC Cover, Long 100's/pack","pack","1990"
"Office Supplies Expenses","836","Record Book, 150 Pages","pc","88"
"Office Supplies Expenses","837","Record Book, 300 Pages","pc","116"
"Office Supplies Expenses","838","Record Book, 500 Pages","pc","139"
"Office Supplies Expenses","839","Report Book, Size: A4 8.27"" x 11.69"" Finish 16.54 xx 11.69; Paper Thickness: C2S 80#; Binding: Soft Bound; Finish: Matte Lamination (Cover only); Type of Printing: High Resolution; 56 pages","pc","201"
"Office Supplies Expenses","840","Report Book, Size: A4 8.27"" x 11.69"" Finish 16.54 xx 11.69; Paper Thickness: C2S 80#; Binding: Soft Bound; Finish: Matte Lamination (Cover only); Type of Printing: High Resolution; 72 pages","pc","242"
"Office Supplies Expenses","841","Ring Binder, 1""","pc","44"
"Office Supplies Expenses","842","Ring Binder, 1/2""","pc","23"
"Office Supplies Expenses","843","Ring Binder, 1/4""","pc","13"
"Office Supplies Expenses","844","Ring Binder, 1½""","pc","61"
"Office Supplies Expenses","845","Ring Binder, 2""","pc","83"
"Office Supplies Expenses","846","Ring Binder, 3/4""","pc","30"
"Office Supplies Expenses","847","Rollerball pen, refill, blue, fine, 10g","pc","298"
"Office Supplies Expenses","848","Rollerball pen, Vector Standard, stainless steel trim","pc","1029"
"Office Supplies Expenses","849","Rubber Band, #18, transparent, 400g, 70mm minlay flat length","pc","336"
"Office Supplies Expenses","850","Rubber Band, Small","pc","32"
"Office Supplies Expenses","851","Rubber Self-inking Date Stamp","pc","1098"
"Office Supplies Expenses","852","Ruler 12"", Plastic","pc","18"
"Office Supplies Expenses","853","Ruler 12"", Stainless","pc","126"
"Office Supplies Expenses","854","Ruler 24"", Metal","pc","241"
"Office Supplies Expenses","855","Safety Pin, silver (1""), 1000s/box","box","225"
"Office Supplies Expenses","856","Scissor, big 7"" stainless, with plastic handle, heavy duty","pc","195"
"Office Supplies Expenses","857","Scissor, small stainless with plastic handle","pc","61"
"Office Supplies Expenses","858","Self-Inking Dater, Mini, 3mm","pc","1320"
"Office Supplies Expenses","859","Sheet Protector w/ 11 holes, plastic Long, 100 pcs","box","373"
"Office Supplies Expenses","860","Sign Pen (Black) Hi-Techpoint V10 Grip","pc","117"
"Office Supplies Expenses","861","Sign Pen (Black) Hi-techpoint V5","pc","104"
"Office Supplies Expenses","862","Sign Pen (Black) Hi-techpoint V7","pc","103"
"Office Supplies Expenses","863","Sign Pen (Blue) Hi-Techpoint V10 Grip","pc","117"
"Office Supplies Expenses","864","Sign Pen (Blue) Hi-techpoint V5","pc","104"
"Office Supplies Expenses","865","Sign Pen (Blue) Hi-techpoint V7","pc","103"
"Office Supplies Expenses","866","Sign Pen 0.8, Pigment Ink (Black)","pc","86"
"Office Supplies Expenses","867","Sign Pen 0.8, Pigment Ink (Blue)","pc","86"
"Office Supplies Expenses","868","Sign Pen G-tech C4, Black","pc","116"
"Office Supplies Expenses","869","Sign Pen G-tech C4, Blue","pc","116"
"Office Supplies Expenses","870","Sign Pen G-tech C4, Green","pc","124"
"Office Supplies Expenses","871","Sign Pen G-tech C4, Red","pc","124"
"Office Supplies Expenses","872","Sign Pen Gel Type 0.7 (Black)","pc","121"
"Office Supplies Expenses","873","Sign Pen Gel Type 0.5 (Black)","pc","121"
"Office Supplies Expenses","874","Sign Pen Gel Type 0.5 (Blue)","pc","121"
"Office Supplies Expenses","875","Sign Pen Gel Type 0.5 (Green)","pc","121"
"Office Supplies Expenses","876","Sign Pen Gel Type 0.5 (Red)","pc","121"
"Office Supplies Expenses","877","Sign Pen Gel Type 0.5 (Violet)","pc","121"
"Office Supplies Expenses","878","Sign Pen Gel Type 0.7 (Blue)","pc","121"
"Office Supplies Expenses","879","Sign Pen Retactable(Blue) G-2, 0.7","pc","111"
"Office Supplies Expenses","880","Sign Pen Retractable (Black) G-2, 0.7","pc","116"
"Office Supplies Expenses","881","Sign Pen Retractable(Blue) G-2, 0.5","pc","101"
"Office Supplies Expenses","882","Sign Pen, Gel Type 0.7, (Green)","pc","86"
"Office Supplies Expenses","883","Sign Pen, Gel Type, 0.7, (Red)","pc","121"
"Office Supplies Expenses","884","Sign Pen, Roller Ball (Refill), Medium (Blue)","pc","75"
"Office Supplies Expenses","885","Sign Pen, Roller Ball, Medium, Black","pc","86"
"Office Supplies Expenses","886","Sign Pen, Roller Ball, Medium, Blue","pc","85"
"Office Supplies Expenses","887","Silk/Satin Ribbon 1"", Purple","roll","242"
"Office Supplies Expenses","888","Silk/Satin Ribbon 1"", Royal Blue","roll","227"
"Office Supplies Expenses","889","Silk/Satin Ribbon 2"", Purple","roll","279"
"Office Supplies Expenses","890","Silk/Satin Ribbon 2"", Royal Blue","roll","312"
"Office Supplies Expenses","891","Specialty Paper, Pale Cream,90 gsm/10 sheets, Long","pack","83"
"Office Supplies Expenses","892","Specialty Paper, Pale Cream,90 gsm/10 sheets, A4","pack","77"
"Office Supplies Expenses","893","Stamp Pad Ink, 30ml (Black)","btl","84"
"Office Supplies Expenses","894","Stamp Pad Ink, 473ml (Violet)","btl","212"
"Office Supplies Expenses","895","Stamp pad ink,50ml (Violet)","btl","135"
"Office Supplies Expenses","896","Stamp Pad w/ Ink Big #2","pc","64"
"Office Supplies Expenses","897","Stamp Pad w/ Ink Small #00","pc","231"
"Office Supplies Expenses","898","Staple Wire #1","box","53"
"Office Supplies Expenses","899","Staple Wire #10/1000's","box","120"
"Office Supplies Expenses","900","Staple Wire Remover Twin Jaws","pc","143"
"Office Supplies Expenses","901","Staple Wire, standard, #35, 5000's/box","box","336"
"Office Supplies Expenses","902","Stapler #10","pc","1320"
"Office Supplies Expenses","903","Stapler #35, Heavy Duty, Big","pc","995"
"Office Supplies Expenses","904","Stapler #35, with Staple Remover","pc","176"
"Office Supplies Expenses","905","Steel Rack (4-5 layers) Heavy Duty","unit","17050"
"Office Supplies Expenses","906","Steno Notebook, 60lvs","pc","35"
"Office Supplies Expenses","907","Sticker Paper, A4 , White, 10 sheets","pack","57"
"Office Supplies Expenses","908","Sticker Paper, Long, White, 10 sheets","pack","58"
"Office Supplies Expenses","909","Sticker Paper, Matte Finish, a4","pack","94"
"Office Supplies Expenses","910","Sticker Soft Flocked Velvet Felt Fabric 40cm*145cm","pcs","480"
"Office Supplies Expenses","911","Sticky Post-it Mini ""Sign Here"" 5 colors (45x12mm)","pack","83"
"Office Supplies Expenses","912","Styrofoam ½"" x 2' x 4'","pc","98"
"Office Supplies Expenses","913","Switching Power Supply 24V 2.5A","pc","263"
"Office Supplies Expenses","914","Tabbing Letter Index Tabs, assorted color","box","104"
"Office Supplies Expenses","915","Table Nameplate Acrylic","pc","11"
"Office Supplies Expenses","916","Table Nameplate, 7x25cm, Acrylic, 2-side","pcs","36"
"Office Supplies Expenses","917","Tape Dispenser, heavy duty, for 24mm (1"")","pcs","124"
"Office Supplies Expenses","918","Tape Dispenser, heavy duty, for 24mm(1"")","pc","31"
"Office Supplies Expenses","919","Tape, packaging, 48mm, (2"")","roll","76"
"Office Supplies Expenses","920","Tape, Transparent ½"" x 25 yards","roll","44"
"Office Supplies Expenses","921","Tape, transparent, (1""), 24mm","roll","44"
"Office Supplies Expenses","922","Tape, transparent, (2""), 24mm","roll","44"
"Office Supplies Expenses","923","Thumb Tacks, 100's/box","box","44"
"Office Supplies Expenses","924","Uni PIN Fine Liner .7 (blue)","pc","44"
"Office Supplies Expenses","925","Valiant Vellum Board, 180 gsm 22""x28"" - Blue","sheet","44"
"Office Supplies Expenses","926","Valiant Vellum Board, 180 gsm 22""x28"" - Green","sheet","44"
"Office Supplies Expenses","927","Valiant Vellum Board, 180 gsm 22""x28"" - L.Blue","sheet","1325"
"Office Supplies Expenses","928","Valiant Vellum Board, 180 gsm 22""x28"" - Orange","sheet","6331"
"Office Supplies Expenses","929","Valiant Vellum Board, 180 gsm 22""x28"" - Pink","sheet","13271"
"Office Supplies Expenses","930","Valiant Vellum Board, 180 gsm 22""x28"" - Red","sheet","94"
"Office Supplies Expenses","931","Valiant Vellum Board, 180 gsm 22""x28"" - Yellow","sheet","147"
"Office Supplies Expenses","932","Wall Clock 12""","unit","680"
"Office Supplies Expenses","933","Whiteboard 2' x 3'","pc","875"
"Office Supplies Expenses","934","Whiteboard 4' x 6'","pc","1086"
"Office Supplies Expenses","935","Whiteboard 2' x 3', with Aluminum Stand","pc","2959"
"Office Supplies Expenses","936","Whiteboard 4' x 6', with Aluminum Stand","pc","5445"
"Office Supplies Expenses","937","Yellow Ruled Pads","pad","88"
"","","POSTAGE & COURIER SERVICES","",""
"Postage and Courier Services","938","Postage Stamps @ 1.00","pc","1"
"Postage and Courier Services","939","Postage Stamps @ 3.00","pc","4"
"Postage and Courier Services","940","Postage Stamps @ 5.00","pc","6"
"Postage and Courier Services","941","Postage Stamps @ 7.00","pc","9"
"Postage and Courier Services","942","Postage Stamps @ 10.00","pc","13"
"Postage and Courier Services","943","Postage Stamps @ 12.00","pc","15"
"Postage and Courier Services","944","Postage Stamps @ 14.00","pc","18"
"Postage and Courier Services","945","Postage Stamps @ 17.00","pc","22"
"Postage and Courier Services","946","Postage Stamps @ 20.00","pc","25"
"Postage and Courier Services","947","Postage Stamps @ 35.00","pc","44"
"Postage and Courier Services","948","Postage Stamps @ 40.00","pc","51"
"Postage and Courier Services","949","Postage Stamps @ 55.00","pc","70"
"","","PRINTING & PUBLICATION","",""
"Printing and Publication Expenses","950","Tarpaulin","sq. ft.","22"
"Printing and Publication Expenses","951","Printing and Binding - 200 pages mininmum","bklts","3200"
"Printing and Publication Expenses","952","Printing and Binding - 50 pages minimum","bklts","1670"
"","","Buffet Meals and Snacks (For OPG, OVG, OSP and ADM only)","",""
"Representation Expenses","953","Special Snack (2 viands; sandwhich/burger, spaghetti/pancit/shanghai/chicken/siopao and juice/soft drinks in can)","pax","350"
"Representation Expenses","954","Special Meal (3 viands, rice, bottled water, juice/soft drinks in can, dessert)","pax","633"
"","","Meals and Snacks (Other Offices)","",""
"Representation Expenses","956","Standard Snacks (Sandwich/Bread and juice/soft drinks)","pax","83"
"Representation Expenses","957","Standard Meal (2 viands, rice and bottled water)","pax","172"
"Representation Expenses","958","Heavy Snacks (1 viand pack: sandwich/burger, pancit/spaghetti/siopao and juice/ soft drinks in can)","pax","172"
"","","TROPHIES, PLAQUES & MEDALS","",""
"Other Supplies and Materials Expenses","959","Medal, gold-plated, 2"", personalized","pc","649"
"Other Supplies and Materials Expenses","960","Medal, silver-plated, 2"", personalized","pc","644"
"Other Supplies and Materials Expenses","961","Medal, bronze-plated, 2"", personalized","pc","644"
"Other Supplies and Materials Expenses","962","Trophies, small, glass/ acryllic","pc","1002"
"Other Supplies and Materials Expenses","963","Trophies, medium, glass/ acryllic","pc","1186"
"Other Supplies and Materials Expenses","964","Trophies, large, glass/acryllic","pc","1340"
"Other Supplies and Materials Expenses","965","Trophies, small, wood","pc","2610"
"Other Supplies and Materials Expenses","966","Trophies, medium, wood","pc","3717"
"Other Supplies and Materials Expenses","967","Trophies, large, wood","pc","5111"
"Other Supplies and Materials Expenses","968","Plaque, Glass","pc","3071"
"Other Supplies and Materials Expenses","969","Plaque, Wood","pc","4334"
"","","SPORTS SUPPLIES","",""
"Other Supplies and Materials Expenses","970","Badminton Set, 2 players, with Shuttlecock","set","1426"
"Other Supplies and Materials Expenses","971","Basketball Ball, High Quality","pc","4799"
"Other Supplies and Materials Expenses","972","Basketball Ball, Standard","pc","1243"
"Other Supplies and Materials Expenses","973","Basketball Ring Net, High Quality","pc","469"
"Other Supplies and Materials Expenses","974","Sepak Takraw, Ball and Net, Tournament Size","set","2675"
"Other Supplies and Materials Expenses","975","Volleyball Ball, High Quality","pc","5119"
"Other Supplies and Materials Expenses","976","Volleyball Ball, Standard","pc","1181"
"Other Supplies and Materials Expenses","977","Volleyball Net, High Quality","pc","1708"
"","","TOKENS/SOUVENIRS","",""
